,id,Lng,Lat,Cid,tradeTime,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage
45561,101100763418,116.380262,39.850039,1111027379036,2016-11-03,10,585.0,59561,98.22,2,1,1,1,21,1.0,2005,3,6,0.25,1.0,1.0,0.0,2,56964.0
231343,BJFT88781034,116.364028,39.870465,1111027381871,2015-02-26,4,180.0,36810,48.9,1,1,1,1,18,1.0,1995,4,6,0.25,1.0,1.0,0.0,2,62103.0
309909,BJXC89427733,116.348041,39.932646,1111027377704,2015-06-01,10,346.0,57957,59.7,2,1,1,1,20,1.0,1989,3,2,0.25,1.0,1.0,1.0,10,98958.0
61409,101101126373,116.345639,39.909672,1111027378419,2017-03-15,41,890.0,127874,69.6,2,1,1,1,18,1.0,1990,4,2,0.25,1.0,1.0,1.0,10,100053.0
203894,BJDC89906319,116.414452,39.866869,1111027374300,2015-12-20,72,450.0,30336,148.34,3,1,1,2,6,4.0,1995,4,2,0.5,1.0,1.0,1.0,1,63863.0
156857,BJCY88274611,116.490126,39.920449,1111027376675,2014-12-07,11,160.0,33985,47.08,1,1,1,1,16,1.0,1986,3,6,0.286,1.0,1.0,0.0,7,55778.0
174464,BJCY90015274,116.4388,40.054941,1111027375158,2016-06-02,25,230.0,41819,55.0,1,1,1,1,28,3.0,未知,1,6,0.19,1.0,0.0,1.0,7,77695.0
66139,101101225236,116.364039,39.848137,1111027376529,2017-03-08,37,540.0,74679,72.31,2,1,1,1,6,4.0,1998,4,2,0.5,0.0,1.0,1.0,2,64123.0
289799,BJTJ87997738,116.689244,39.873245,1111027376743,2014-11-16,1,195.0,21830,89.33,2,2,1,1,6,4.0,2007,4,6,0.5,0.0,1.0,0.0,11,49350.0
3346,101091865264,116.354287,40.079237,1111027378213,2016-07-20,3,445.0,30038,148.15,3,2,1,2,6,4.0,2005,4,2,0.5,0.0,0.0,0.0,6,39995.0
200851,BJDC88221709,116.451993,39.896532,1111027374686,2014-10-02,7,190.0,32878,57.79,2,1,1,1,6,4.0,1991,3,2,0.5,0.0,0.0,1.0,1,71761.0
203022,BJDC89478695,116.416543,39.869811,1111027380567,2015-10-16,51,368.0,42014,87.59,2,1,1,1,13,3.0,2006,4,6,0.2,1.0,1.0,1.0,1,74909.0
42580,101100694808,116.162938,39.939005,1111027378401,2016-11-30,85,200.0,35657,56.09,2,1,1,1,6,4.0,1991,4,6,0.333,0.0,1.0,0.0,9,39314.0
158180,BJCY88407025,116.512182,39.928407,1111027379400,2014-10-26,3,208.0,31321,66.41,2,1,1,1,14,4.0,1986,4,6,0.25,0.0,1.0,1.0,7,59271.0
216429,BJDX90920407,116.350909,39.745849,1111027374314,2016-02-27,5,154.5,19164,80.62,2,1,1,1,6,4.0,未知,3,2,0.25,0.0,0.0,0.0,4,38492.0
30468,101100476084,116.346469,39.882483,1111027377722,2016-09-04,6,549.0,59033,93.0,2,1,1,1,24,3.0,2004,4,6,0.231,1.0,0.0,0.0,10,81221.0
146732,BJCY86723274,116.455383,39.88502,1111027374197,2014-05-04,4,258.0,43833,58.86,1,1,1,1,21,1.0,2005,1,6,0.375,1.0,1.0,0.0,7,66551.0
69887,101101316129,116.264969,39.927867,1111027381754,2017-10-17,229,745.0,53025,140.5,3,2,1,2,6,4.0,1999,3,2,0.5,0.0,1.0,0.0,8,70230.0
48385,101100836603,116.353434,39.940291,1111027376404,2016-12-21,78,540.0,87521,61.7,2,1,1,1,19,1.0,1988,3,2,0.25,1.0,0.0,1.0,10,92576.0
74025,101101485987,116.430966,40.05675,1111041153546,2017-10-27,89,615.0,70959,86.67,2,1,1,1,27,3.0,2012,4,6,0.667,1.0,0.0,0.0,7,75110.0
147771,BJCY86903723,116.510441,39.931785,1111027376727,2014-01-05,5,552.0,41244,133.84,3,2,1,2,21,3.0,2007,1,6,0.5,1.0,1.0,1.0,7,66036.0
56520,101101020330,116.399693,39.972072,1111027374642,2017-01-06,29,390.0,78772,49.51,1,1,1,1,16,4.0,1992,2,6,0.15,1.0,1.0,1.0,7,71985.0
44362,101100734863,116.422213,39.968073,1111027378881,2016-10-23,6,380.8,84736,44.94,1,1,1,1,6,4.0,1996,3,2,0.333,0.0,1.0,1.0,1,88092.0
163219,BJCY88951724,116.487808,39.889853,1111027378758,2015-04-08,5,233.0,28589,81.5,3,1,1,1,18,1.0,1997,3,6,0.2,1.0,1.0,0.0,7,58444.0
177151,BJCY90379773,116.530553,39.921425,1111027381021,2016-01-03,19,142.0,39162,36.26,1,0,1,1,24,1.0,2004,4,6,0.25,1.0,0.0,1.0,7,56631.0
218161,BJDX91963974,116.344557,39.780149,1111027381756,2016-04-10,3,253.0,34502,73.33,2,2,1,1,7,4.0,1997,4,2,0.5,0.0,0.0,1.0,4,45149.0
46265,101100779155,116.421876,40.008585,1111027382177,2016-11-28,16,628.0,57300,109.6,2,1,1,1,26,1.0,1998,4,6,0.2,1.0,1.0,1.0,7,66408.0
316568,BJXC91868390,116.395202,39.961718,1111027378023,2016-06-10,83,496.0,98904,50.15,2,1,1,1,1,2.0,1982,4,4,0.333,0.0,1.0,1.0,10,133455.0
182954,BJCY91113643,116.516283,39.875047,1111027377001,2016-01-06,5,184.0,32310,56.95,2,1,1,1,6,4.0,1996,3,2,0.333,0.0,1.0,0.0,7,47699.0
254225,BJHD88132464,116.338231,39.97411,1111027378409,2014-10-25,5,420.0,48055,87.4,2,1,1,1,24,1.0,1999,1,6,0.3,1.0,1.0,1.0,8,83520.0
112476,BJCP90414521,116.416156,40.082585,1111027380054,2015-10-02,2,282.0,15129,186.4,3,2,1,2,32,1.0,2003,4,6,0.5,1.0,1.0,1.0,6,33820.0
13914,101100201271,116.450152,39.910913,1111027378283,2016-07-08,9,389.0,54612,71.23,2,2,1,1,12,1.0,2004,4,6,0.143,1.0,0.0,1.0,7,65170.0
54052,101100966672,116.352882,40.05023,1111027378224,2017-02-12,120,827.0,72209,114.53,3,1,1,2,18,4.0,2007,4,6,0.667,1.0,1.0,1.0,8,71309.0
16332,101100241995,116.404579,39.978491,1111027375686,2016-07-22,18,381.0,66458,57.33,2,1,1,1,6,4.0,1984,4,2,0.5,0.0,0.0,1.0,7,72138.0
167434,BJCY89340656,116.390339,39.979085,1111027375544,2015-06-30,2,665.0,35665,186.46,3,1,1,2,15,1.0,未知,4,6,0.5,1.0,1.0,1.0,7,62564.0
31814,101100498977,116.186217,39.756632,1111027375720,2016-08-31,2,248.0,21233,116.8,2,2,1,2,6,4.0,2002,4,2,0.5,0.0,1.0,1.0,5,29747.0
23659,101100367425,116.425304,40.112553,1111027378310,2016-08-08,26,235.0,35961,65.35,1,1,1,1,6,4.0,2004,4,2,0.333,0.0,1.0,0.0,6,41888.0
255850,BJHD88562422,116.350167,40.038259,1111027379405,2014-12-01,2,216.0,34744,62.17,2,1,1,1,7,4.0,1998,3,2,0.333,0.0,1.0,0.0,8,60555.0
318065,BJYZ89953274,116.527591,39.826956,1111027380990,2016-01-18,40,185.0,20483,90.32,2,1,1,1,6,4.0,2000,3,2,0.5,0.0,1.0,0.0,4,36914.0
50139,101100874229,116.42537,40.052808,1111027376257,2016-12-19,12,565.0,59998,94.17,2,2,1,1,25,1.0,2007,4,6,0.3,1.0,1.0,1.0,7,60785.0
169714,BJCY89545483,116.572491,39.853078,1111027374301,2015-08-23,29,240.0,25430,94.38,2,2,1,2,19,1.0,2005,4,6,0.333,1.0,1.0,0.0,7,48142.0
89449,101102257381,116.454903,39.882809,1111027378740,2017-12-14,246,256.0,63825,40.11,1,1,1,1,6,4.0,1980,3,2,0.333,0.0,1.0,0.0,7,57180.0
226919,BJFT86425802,116.309431,39.842691,1111027381704,2013-10-28,10,298.0,38527,77.35,1,1,1,1,27,1.0,2006,1,6,0.3,1.0,1.0,1.0,2,58879.0
101071,BJCP86133533,116.322609,40.082706,1111027375049,2013-09-01,12,212.5,29070,73.1,2,1,1,1,6,4.0,1996,1,2,0.5,0.0,0.0,0.0,6,47794.0
82556,101101900720,116.518854,39.939588,1111027374656,2017-10-05,19,642.0,66350,96.76,2,1,1,2,27,3.0,2006,3,6,0.667,1.0,1.0,0.0,7,58092.0
189330,BJCY91673188,116.443381,39.926366,1111027380960,2016-03-07,2,218.0,37432,58.24,1,0,1,1,24,3.0,未知,3,6,0.16,1.0,1.0,1.0,7,52749.0
80634,101101802462,116.395668,39.957522,1111027375570,2017-09-17,24,603.0,125364,48.1,1,1,1,1,6,4.0,1985,3,2,0.5,0.0,1.0,1.0,10,122170.0
305069,BJXC87899710,116.371787,39.905909,1111027381293,2014-09-29,13,238.0,45779,51.99,2,1,1,1,12,4.0,1979,3,6,0.037,1.0,1.0,1.0,10,92127.0
245925,BJHD85196503,116.374459,39.995227,1111027382696,2012-12-04,1,284.0,45152,62.9,2,1,1,1,6,4.0,1989,1,2,0.333,0.0,1.0,0.0,8,81499.0
3484,101091877185,116.35699,40.093976,1111027380088,2016-07-28,33,450.0,36026,124.91,3,1,1,2,6,4.0,2005,4,2,0.5,0.0,1.0,1.0,6,46280.0
185616,BJCY91393463,116.462185,39.884984,1111027378741,2016-01-24,16,319.0,35571,89.68,3,1,1,1,18,1.0,1991,3,6,0.25,1.0,1.0,1.0,7,55151.0
85712,101102063240,116.343001,39.964408,1111027382494,2018-01-01,53,363.0,86801,41.82,1,1,1,1,5,4.0,1982,4,2,0.333,0.0,0.0,0.0,8,86585.0
191922,BJCY91850449,116.446371,39.964132,1111027377871,2016-03-29,8,685.0,48804,140.36,3,2,1,1,24,1.0,未知,4,6,0.3,1.0,1.0,0.0,7,73469.0
293794,BJTJ91610858,116.6512,39.898186,1111027379287,2016-03-05,18,209.8,31337,66.95,1,1,1,1,18,3.0,2005,4,6,0.25,1.0,0.0,1.0,11,48244.0
217627,BJDX91692455,116.346109,39.756539,1111027375859,2016-05-26,28,208.0,26098,79.7,3,1,1,1,6,4.0,1994,3,2,0.5,0.0,1.0,1.0,4,39243.0
27620,101100430488,116.445785,40.077726,1111027380050,2016-08-28,2,432.0,25715,168.0,3,2,1,2,7,4.0,2003,3,2,0.5,0.0,1.0,0.0,6,36411.0
302699,BJXC86790622,116.334485,39.890374,1111027381883,2013-12-07,4,420.0,44662,94.04,2,2,1,1,26,1.0,2000,1,6,0.2,1.0,1.0,1.0,10,81624.0
259490,BJHD89483682,116.37555,40.042102,1111027376090,2015-06-15,9,291.0,41962,69.35,2,1,1,1,6,4.0,2000,4,2,0.333,0.0,0.0,0.0,8,64452.0
262002,BJHD90241650,116.301709,39.919502,1111027376614,2015-09-06,20,429.0,57973,74.0,3,1,1,1,21,1.0,1989,3,6,0.222,1.0,1.0,0.0,8,83338.0
67052,101101244111,116.320777,39.63631,1111047250644,2017-03-06,19,347.0,34470,100.67,3,2,1,2,9,1.0,2014,4,6,0.333,0.0,0.0,0.0,4,32703.0
29135,101100453859,116.420472,40.003028,1111027375592,2016-09-20,20,328.0,62956,52.1,1,0,1,1,6,4.0,1993,3,2,0.333,0.0,0.0,1.0,7,71958.0
164010,BJCY89015432,116.612765,39.905006,1111027374043,2015-10-04,28,308.5,25496,121.0,3,2,1,2,10,4.0,2005,4,6,0.5,1.0,1.0,0.0,7,45447.0
154419,BJCY87989774,116.46028,39.957618,1111027381357,2014-08-06,4,163.0,37420,43.56,1,1,1,1,12,4.0,1981,3,6,0.25,1.0,0.0,0.0,7,65355.0
225577,BJFT85674005,116.382561,39.862204,1111027378302,2013-09-21,6,215.0,32790,65.57,2,1,1,1,14,3.0,1995,1,6,0.091,1.0,0.0,1.0,2,54338.0
62420,101101150763,116.343245,39.900529,1111027378998,2017-02-26,47,332.0,116003,28.62,1,0,1,1,20,1.0,2004,1,6,0.121,1.0,0.0,1.0,10,92360.0
306860,BJXC88551786,116.337032,39.88979,1111027380828,2015-11-17,41,510.0,40342,126.42,3,2,1,1,19,1.0,2001,4,6,0.25,1.0,0.0,1.0,10,76617.0
310416,BJXC89556172,116.351337,39.931197,1111027382586,2015-07-05,13,575.0,57848,99.4,3,1,1,1,7,4.0,1995,1,2,0.5,0.0,1.0,1.0,10,93676.0
239121,BJFT91789357,116.369206,39.856287,1111027381066,2016-03-27,12,139.7,41640,33.55,1,0,1,1,24,1.0,2002,3,6,0.25,1.0,1.0,1.0,2,58524.0
31348,101100491933,116.166915,39.763393,1111047034761,2016-10-14,4,126.0,15474,81.43,2,1,1,1,16,1.0,2014,1,6,0.167,1.0,0.0,0.0,5,20483.0
54610,101100978088,116.609116,39.903738,1111027382236,2017-01-12,28,513.0,56127,91.4,2,1,1,1,18,3.0,2009,4,6,0.5,1.0,1.0,0.0,7,52904.0
7666,101092187610,116.450853,39.911975,1111027376315,2016-09-29,20,560.0,70878,79.01,1,1,1,1,27,1.0,2007,4,6,0.273,1.0,0.0,1.0,7,84090.0
203879,BJDC89898715,116.404734,39.960609,1111027378894,2015-08-02,4,350.0,69473,50.38,2,1,1,1,6,4.0,1990,3,4,0.333,0.0,1.0,1.0,1,108304.0
261416,BJHD90013315,116.311592,39.977698,1111027380424,2015-08-25,9,345.0,68048,50.7,2,1,1,1,6,4.0,1985,2,2,0.333,0.0,1.0,1.0,8,91263.0
67688,101101258898,116.490901,39.97819,1111027374425,2017-05-15,44,380.0,64233,59.16,2,1,1,1,6,4.0,1990,3,4,0.333,0.0,1.0,1.0,7,59224.0
38505,101100610171,116.30313,39.950488,1111027376363,2016-09-24,14,631.0,78483,80.4,3,1,1,1,21,1.0,1990,3,6,0.286,1.0,0.0,1.0,8,81990.0
187438,BJCY91560501,116.560531,39.925155,1111027374436,2016-02-19,1,224.2,32836,68.28,2,1,1,1,6,4.0,1998,3,2,0.5,0.0,1.0,0.0,7,49380.0
171312,BJCY89683171,116.609957,39.91983,1111027375945,2015-07-26,27,287.0,30663,93.6,2,2,1,1,28,3.0,2009,4,6,0.333,1.0,1.0,0.0,7,54263.0
307642,BJXC88819252,116.348433,39.897049,1111027379510,2015-03-17,6,236.0,41433,56.96,2,1,1,1,6,4.0,1986,3,2,0.5,0.0,1.0,1.0,10,75179.0
113967,BJCP90940929,116.422295,40.133927,1111027380410,2016-02-28,3,226.0,17401,129.88,3,2,1,1,6,4.0,1999,4,2,0.5,0.0,1.0,0.0,6,31485.0
267452,BJHD91906036,116.385429,39.986581,1111027382707,2016-04-15,14,339.0,63389,53.48,1,1,1,1,25,1.0,2002,4,6,0.25,1.0,1.0,1.0,8,79654.0
141192,BJCY85919264,116.447131,39.976982,1111027380091,2013-09-08,5,305.0,49505,61.61,1,1,1,1,20,3.0,未知,1,6,0.333,1.0,1.0,1.0,7,77143.0
134261,BJCY85249934,116.603501,39.919667,1111027377416,2013-01-16,1,145.0,22138,65.5,1,2,1,1,18,1.0,2003,1,6,0.25,1.0,1.0,1.0,7,43307.0
210791,BJDX85743495,116.430535,39.79321,1111027377532,2013-05-04,2,175.0,20562,85.11,2,1,1,1,6,4.0,2003,1,2,0.5,0.0,0.0,0.0,2,41507.0
201078,BJDC88367227,116.450229,39.946158,1111027376626,2014-11-08,1,254.5,50738,50.16,1,1,1,1,9,3.0,1998,3,2,0.25,1.0,1.0,1.0,1,97830.0
291558,BJTJ89385501,116.695911,39.894711,1111027380732,2015-05-24,3,210.0,19823,105.94,3,1,1,1,6,4.0,2002,3,2,0.5,0.0,1.0,0.0,11,43455.0
24900,101100386896,116.328627,39.979037,1111027382321,2016-09-11,19,530.0,86039,61.6,2,1,1,1,18,1.0,1988,4,6,0.2,1.0,1.0,1.0,8,96866.0
267125,BJHD91806537,116.280601,40.037442,1111027378170,2016-04-18,23,323.0,53283,60.62,2,1,1,1,6,4.0,未知,3,2,0.5,0.0,1.0,1.0,8,61954.0
41360,101100666831,116.444565,39.853072,1111027377170,2016-10-23,1,550.0,60956,90.23,2,2,1,1,6,4.0,2003,3,6,0.5,0.0,0.0,1.0,2,52394.0
46902,101100793299,116.343862,40.074863,1111027377721,2016-12-13,19,426.0,48859,87.19,3,1,1,1,6,4.0,2004,3,6,0.5,0.0,1.0,1.0,6,43544.0
233000,BJFT89370001,116.29887,39.867313,1111027376814,2015-09-26,11,120.0,28916,41.5,1,1,1,1,6,4.0,1985,3,2,0.333,0.0,1.0,1.0,2,57557.0
23433,101100363263,116.432684,40.077562,1111027380057,2016-09-07,19,305.0,30697,99.36,2,1,1,1,20,1.0,2008,4,6,0.25,1.0,1.0,0.0,6,38384.0
19304,101100295549,116.481632,39.927935,1111027377385,2016-07-13,2,448.0,50338,89.0,2,1,1,1,16,4.0,1987,2,6,0.167,1.0,0.0,1.0,7,67899.0
7312,101092165751,116.337135,40.044991,1111027378913,2016-08-29,38,506.0,50926,99.36,2,1,1,1,19,3.0,2003,3,6,0.5,1.0,1.0,0.0,8,60611.0
96199,BJCP84750849,116.363152,40.089008,1111027377566,2012-09-28,1,208.0,23249,89.47,2,1,1,1,12,3.0,2004,1,6,0.25,1.0,0.0,1.0,6,52197.0
77294,101101642340,116.509391,39.77468,1111027379850,2017-07-12,49,278.0,40490,68.66,1,1,1,1,11,3.0,2009,4,6,0.333,1.0,0.0,0.0,3,42697.0
72819,101101433805,116.333514,39.797388,1111027379316,2017-04-18,8,776.0,62652,123.86,3,2,1,1,15,3.0,2009,3,6,0.5,1.0,1.0,1.0,4,52902.0
33186,101100519824,116.119651,39.934504,1111027382024,2016-09-14,12,350.0,38602,90.67,2,1,1,1,6,4.0,2004,4,2,0.5,0.0,0.0,0.0,12,39294.0
290790,BJTJ88867570,116.659929,39.908429,1111027375173,2015-06-10,4,152.0,25754,59.02,2,1,1,1,6,4.0,1982,4,2,0.333,0.0,1.0,0.0,11,46711.0
91795,101102395179,116.437597,39.863044,1111027375508,2017-12-20,31,303.0,52062,58.2,2,1,1,1,6,4.0,1988,4,2,0.333,0.0,1.0,1.0,2,54134.0
175880,BJCY90207237,116.466716,40.002198,1111027379398,2015-09-21,7,384.5,42770,89.9,2,2,1,1,22,1.0,2009,4,6,0.25,1.0,1.0,0.0,7,74614.0
19528,101100299454,116.328035,40.078668,1111027378235,2016-07-21,5,450.0,45919,98.0,2,2,1,2,7,4.0,未知,4,2,0.5,0.0,0.0,1.0,6,46352.0
272999,BJSJ87927751,116.195775,39.912986,1111027374520,2014-11-08,3,163.0,29108,56.0,2,1,1,1,11,4.0,未知,1,6,0.333,0.0,0.0,1.0,9,49995.0
200352,BJDC87896852,116.446244,39.897173,1111027381473,2014-11-03,4,313.0,48214,64.92,3,1,1,1,6,4.0,1988,3,2,0.5,0.0,1.0,1.0,1,91970.0
203386,BJDC89655964,116.434355,39.933559,1111027376502,2015-06-21,1,550.0,81301,67.65,2,1,1,1,6,4.0,2003,4,6,0.5,0.0,1.0,1.0,1,126398.0
90493,101102312539,116.609957,39.91983,1111027375945,2017-11-19,29,370.0,54840,67.47,1,1,1,1,28,3.0,2008,4,6,0.4,1.0,1.0,0.0,7,54263.0
255130,BJHD88373896,116.320453,40.039032,1111046342806,2014-11-17,1,340.0,75893,44.8,1,1,1,1,6,4.0,1997,3,2,0.5,0.0,1.0,1.0,8,107251.0
84082,101101981383,116.381307,39.970874,1111027380697,2017-09-12,37,870.0,124642,69.8,3,1,1,1,6,4.0,1983,3,2,0.5,0.0,0.0,0.0,10,130635.0
314968,BJXC91415727,116.362351,39.925,1111027374170,2016-01-15,4,308.0,78572,39.2,1,1,1,1,20,1.0,1992,1,2,0.222,1.0,0.0,1.0,10,103031.0
84803,101102016901,116.413046,40.056407,1111027376788,2017-09-13,30,320.0,48885,65.46,2,2,1,1,6,4.0,1998,4,2,0.167,0.0,1.0,0.0,6,47772.0
39455,101100629956,116.22664,39.907108,1111027381546,2016-11-17,33,405.0,47386,85.47,2,2,1,1,6,4.0,1998,3,2,0.5,0.0,1.0,0.0,9,47958.0
254322,BJHD88153514,116.347797,39.976432,1111027380126,2014-10-26,3,830.0,59443,139.63,3,2,1,2,30,1.0,未知,4,6,0.333,1.0,1.0,1.0,8,91516.0
101187,BJCP86187128,116.351869,40.093821,1111027377892,2013-11-02,13,329.8,25942,127.13,3,2,1,2,7,4.0,2004,1,2,0.5,0.0,0.0,1.0,6,47153.0
151904,BJCY87658134,116.467726,40.005504,1111027378521,2014-06-16,3,202.0,33566,60.18,1,1,1,1,20,1.0,2000,4,6,0.25,1.0,0.0,1.0,7,63732.0
266106,BJHD91611908,116.344215,39.978789,1111027375248,2016-03-01,7,460.0,50483,91.12,1,2,1,1,25,1.0,2000,3,6,0.2,1.0,1.0,1.0,8,77107.0
41785,101100677132,116.590404,39.918459,1111027382500,2016-10-07,4,222.5,49445,45.0,1,1,1,1,5,4.0,1987,3,2,0.333,0.0,0.0,1.0,7,46847.0
161567,BJCY88772684,116.42022,40.044807,1111027379889,2015-01-29,2,436.0,32864,132.67,3,1,1,2,32,1.0,2008,4,6,0.444,1.0,1.0,1.0,7,62595.0
258777,BJHD89312548,116.349984,39.992769,1111027382338,2015-05-24,3,194.5,46755,41.6,1,1,1,1,6,4.0,1990,4,4,0.25,0.0,1.0,1.0,8,86119.0
157356,BJCY88330892,116.418802,40.010659,1111027375984,2014-10-12,2,450.0,39659,113.47,2,1,1,1,30,1.0,2008,4,6,0.4,1.0,0.0,1.0,7,79346.0
170309,BJCY89595143,116.423442,39.994638,1111027375395,2015-11-24,18,275.0,41692,65.96,2,1,1,1,18,1.0,1987,3,6,0.25,1.0,0.0,1.0,7,72315.0
79753,101101758295,116.325385,39.984968,1111027376959,2017-09-24,9,678.0,105444,64.3,2,1,1,1,10,3.0,1980,4,6,0.25,1.0,1.0,1.0,8,117529.0
28932,101100450219,116.478715,39.916424,1111027380171,2016-08-31,4,830.0,65874,126.0,2,2,1,2,30,1.0,2005,4,6,0.5,1.0,0.0,1.0,7,79774.0
290439,BJTJ88543669,116.689244,39.873245,1111027376743,2015-02-09,4,248.0,21163,117.19,3,2,1,2,11,4.0,2005,4,6,0.5,1.0,1.0,1.0,11,49350.0
14110,101100204657,116.280601,40.037442,1111027378170,2016-07-27,10,380.0,55418,68.57,2,1,1,1,6,4.0,1996,3,2,0.5,0.0,0.0,1.0,8,61954.0
289303,BJTJ87467770,116.674125,39.888623,1111027379547,2014-07-30,5,172.5,21014,82.09,2,1,1,1,20,1.0,未知,4,6,0.167,1.0,1.0,1.0,11,44385.0
293470,BJTJ91319244,116.661047,39.932185,1111027374247,2016-01-05,1,255.0,24335,104.79,3,1,1,1,7,4.0,1998,3,2,0.5,0.0,1.0,0.0,11,42363.0
91492,101102372976,116.410104,40.013713,1111027375535,2017-12-11,35,975.0,68168,143.03,3,2,1,2,6,4.0,1997,1,2,0.5,0.0,1.0,1.0,7,57134.0
262723,BJHD90541392,116.355665,40.016785,1111027378796,2015-10-26,7,686.0,53014,129.4,3,2,1,2,16,4.0,2005,4,6,0.5,1.0,1.0,0.0,8,77823.0
292785,BJTJ90514652,116.659929,39.908429,1111027375173,2015-10-22,13,170.0,30417,55.89,2,1,1,1,6,4.0,1982,3,2,0.333,0.0,1.0,0.0,11,46711.0
259285,BJHD89428758,116.372382,39.958962,1111027382609,2016-02-27,21,220.0,54321,40.5,1,1,1,1,6,4.0,1994,3,2,0.5,0.0,1.0,1.0,8,84206.0
194172,BJCY92139901,116.47773,40.002156,1111027380317,2016-05-25,12,521.0,54091,96.32,3,1,1,1,30,1.0,1998,4,6,0.25,1.0,1.0,1.0,7,60348.0
146803,BJCY86735202,116.497552,39.96603,1111027378010,2013-11-21,2,365.0,40696,89.69,2,2,1,1,20,1.0,2003,1,6,0.333,1.0,1.0,1.0,7,60578.0
149939,BJCY87311047,116.436169,40.001247,1111027379323,2014-06-22,3,498.0,33046,150.7,4,2,1,2,22,1.0,1996,4,6,0.25,1.0,1.0,1.0,7,62456.0
253588,BJHD87932994,116.294695,39.918281,1111027380460,2014-10-19,5,411.0,54416,75.53,3,1,1,1,6,4.0,1987,3,2,0.2,0.0,1.0,1.0,8,102396.0
118244,BJCP91961837,116.311776,40.084907,1111027375926,2016-05-09,61,283.0,38499,73.51,2,2,1,1,6,4.0,未知,4,2,0.5,0.0,1.0,0.0,6,44513.0
100900,BJCP86071533,116.416156,40.082585,1111027380054,2014-06-26,30,273.8,17261,158.63,3,2,1,2,18,4.0,2003,4,2,0.5,1.0,0.0,1.0,6,33820.0
311262,BJXC89759513,116.358465,39.940861,1111027377179,2015-07-08,1,476.0,70823,67.21,1,1,1,1,14,3.0,2005,4,6,0.333,1.0,0.0,1.0,10,102282.0
5648,101092053981,116.432429,39.866533,1111027374322,2016-07-20,60,450.0,42013,107.11,3,1,1,2,18,1.0,2000,4,6,0.182,1.0,1.0,1.0,2,57161.0
306367,BJXC88383516,116.344985,39.891739,1111027381801,2014-11-16,1,369.0,47103,78.34,2,1,1,1,25,1.0,2006,1,6,0.231,1.0,1.0,1.0,10,89350.0
40263,101100645055,116.472698,39.933587,1111027379868,2016-10-04,6,316.5,69714,45.4,2,1,1,1,12,1.0,1981,4,6,0.167,1.0,1.0,1.0,7,69700.0
